,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C18H25O13P1,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,NA,NA,NA,NA,NA,NA,NA,NA,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824,13.9488785787824
C17H23O12P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20201830125437,4.20201830125437,4.20201830125437,4.20201830125437,4.20201830125437,4.20201830125437,4.20201830125437
C22H29O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61873941192269,4.61873941192269,4.61873941192269,4.61873941192269,4.61873941192269,4.61873941192269,4.61873941192269,4.61873941192269
C21H27O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6344747480572,13.6344747480572,NA,13.6344747480572,13.6344747480572,13.6344747480572,13.6344747480572
C23H31O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08270708847318,7.08270708847318,7.08270708847318,7.08270708847318,7.08270708847318,7.08270708847318,7.08270708847318,7.08270708847318
C20H27O14P1,NA,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154,16.2344568698154
C22H29O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89293730065749,5.89293730065749,5.89293730065749,5.89293730065749,5.89293730065749,NA,5.89293730065749,NA
C21H27O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91094798296612,5.91094798296612,5.91094798296612,5.91094798296612,5.91094798296612,5.91094798296612,5.91094798296612
C21H27O15P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08450480732391,NA,6.08450480732391,6.08450480732391,6.08450480732391,6.08450480732391
C21H29O14P1,NA,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866,NA,6.42799080207866,6.42799080207866,6.42799080207866,NA,NA,NA,NA,NA,NA,NA,NA,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866,6.42799080207866
C22H31O14P1,NA,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,NA,NA,NA,NA,NA,NA,NA,NA,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,8.24782201234766,NA,8.24782201234766
C19H27O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79165750944554,3.79165750944554,3.79165750944554,3.79165750944554,3.79165750944554,NA,3.79165750944554,3.79165750944554
C19H27O15P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9194707340927,10.9194707340927,10.9194707340927,10.9194707340927,10.9194707340927,10.9194707340927,10.9194707340927
